run_id,instance_id,seed,repeat,arm,source_sha256,protocol_sha256,input_sha256,status,root_status,actual_root_source,factor_fallback,physical_ok,complete_ok,recovery_success,projected_collision_status,T_physical_return,T_complete_return,T_total,reference_certified_body_clearance,group,simulation_executed,success,rms_position_error,max_position_error,rms_attitude_error_rad,max_attitude_error_rad,min_realized_clearance,min_floor_clearance,max_velocity,max_acceleration,max_jerk,max_thrust,max_rotor_thrust,max_body_rate,actuator_saturation_updates,actuator_saturation_duration,contact_steps,contact_events,body_collision_samples,final_position_error,samples,simulation_duration,log,log_sha256,simulation_wall_seconds,not_run_reason
B_s0_r0_conic,heldout_41000,41000,0,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,f2e880057bf4438b7e0de15f1f8b4499697dddd6be00009792d6f370beba73dc,COMPLETE_SUCCESS,optimal,conic,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,347.24958299921127,485.17104200436734,485.17479200381786,1.5340775994998694,easy,True,True,0.00862933878054435,0.023848690972619647,0.004333011758349294,0.01938661782975447,1.5426046426567839,1.27,1.9457866437243452,0.9894209991793159,1.0247487568711244,5.936315493757796,1.7937640720865402,0.39436277551542653,0,0.0,0,0,0,6.727437997650402e-05,10001,10.0,raw/B_s0_r0_conic.tracking.npz,c34e5f1360de9f2bc56c399272694821fe216db2641c0a30564083faed3442fe,0.5198594590037828,
B_s0_r0_factor,heldout_41000,41000,0,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,f2e880057bf4438b7e0de15f1f8b4499697dddd6be00009792d6f370beba73dc,COMPLETE_SUCCESS,optimal,conic,True,True,True,False,NO_NEGATIVE_WITNESS_FOUND,378.3772919996409,517.1368329974939,517.1394170029089,1.5340775994998694,easy,True,True,0.00862933878054435,0.023848690972619647,0.004333011758349294,0.01938661782975447,1.5426046426567839,1.27,1.9457866437243452,0.9894209991793159,1.0247487568711244,5.936315493757796,1.7937640720865402,0.39436277551542653,0,0.0,0,0,0,6.727437997650402e-05,10001,10.0,raw/B_s0_r0_factor.tracking.npz,c34e5f1360de9f2bc56c399272694821fe216db2641c0a30564083faed3442fe,0.5189411250030389,
B_s0_r1_factor,heldout_41000,41000,1,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,f2e880057bf4438b7e0de15f1f8b4499697dddd6be00009792d6f370beba73dc,COMPLETE_SUCCESS,stationary,factor,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,37.23925000667805,174.94550000265008,174.94829200586537,1.5340777373938181,easy,True,True,0.008629338830308484,0.023848691125675687,0.004333011758962593,0.019386617829445205,1.542604784574986,1.27,1.9457866289401626,0.9894209465523233,1.0247487359875855,5.936315489755497,1.7937640720836563,0.3943627753800452,0,0.0,0,0,0,6.7274392149487e-05,10001,10.0,raw/B_s0_r1_factor.tracking.npz,b100bc2e99228adecd2e89682248ee9fd4a6439b7cf3629b586867207232ceb5,0.5170113749991287,
B_s0_r1_conic,heldout_41000,41000,1,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,f2e880057bf4438b7e0de15f1f8b4499697dddd6be00009792d6f370beba73dc,COMPLETE_SUCCESS,optimal,conic,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,168.6471659995732,308.0392080009915,308.04437500046333,1.5340775994998694,easy,True,True,0.00862933878054435,0.023848690972619647,0.004333011758349294,0.01938661782975447,1.5426046426567839,1.27,1.9457866437243452,0.9894209991793159,1.0247487568711244,5.936315493757796,1.7937640720865402,0.39436277551542653,0,0.0,0,0,0,6.727437997650402e-05,10001,10.0,raw/B_s0_r1_conic.tracking.npz,c34e5f1360de9f2bc56c399272694821fe216db2641c0a30564083faed3442fe,0.5205538750014966,
B_s1_r0_factor,heldout_41001,41001,0,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,d424347e652faf57626d335c58b5a33d47d7f23d97c5fd6c2772f26ec91e866b,COMPLETE_SUCCESS,optimal,conic,True,True,True,False,NO_NEGATIVE_WITNESS_FOUND,357.8259580026497,495.1552500060643,495.1584160007769,1.5439205365617454,easy,True,True,0.008622581775207321,0.023820312123105255,0.004333101411778778,0.019386615928434648,1.547700506213501,1.2700014222190075,1.9400202525354422,0.9872305391727613,1.0158791262561022,5.9175245248145005,1.7937733797913407,0.3943619512848046,0,0.0,0,0,0,6.674276860193156e-05,10001,10.0,raw/B_s1_r0_factor.tracking.npz,26ae0159ca3d3fe60a575f1a13cd323e7f9819238cae9f735cad80bef7729d44,0.5179814580042148,
B_s1_r0_conic,heldout_41001,41001,0,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,d424347e652faf57626d335c58b5a33d47d7f23d97c5fd6c2772f26ec91e866b,COMPLETE_SUCCESS,optimal,conic,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,323.57904199307086,458.2910839963006,458.2933339988813,1.5439205365617454,easy,True,True,0.008622581775207321,0.023820312123105255,0.004333101411778778,0.019386615928434648,1.547700506213501,1.2700014222190075,1.9400202525354422,0.9872305391727613,1.0158791262561022,5.9175245248145005,1.7937733797913407,0.3943619512848046,0,0.0,0,0,0,6.674276860193156e-05,10001,10.0,raw/B_s1_r0_conic.tracking.npz,26ae0159ca3d3fe60a575f1a13cd323e7f9819238cae9f735cad80bef7729d44,0.5548168750028708,
B_s1_r1_conic,heldout_41001,41001,1,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,d424347e652faf57626d335c58b5a33d47d7f23d97c5fd6c2772f26ec91e866b,COMPLETE_SUCCESS,optimal,conic,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,151.61220800655428,286.66891700413544,286.67145800136495,1.5439205365617454,easy,True,True,0.008622581775207321,0.023820312123105255,0.004333101411778778,0.019386615928434648,1.547700506213501,1.2700014222190075,1.9400202525354422,0.9872305391727613,1.0158791262561022,5.9175245248145005,1.7937733797913407,0.3943619512848046,0,0.0,0,0,0,6.674276860193156e-05,10001,10.0,raw/B_s1_r1_conic.tracking.npz,26ae0159ca3d3fe60a575f1a13cd323e7f9819238cae9f735cad80bef7729d44,0.5201288329990348,
B_s1_r1_factor,heldout_41001,41001,1,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,d424347e652faf57626d335c58b5a33d47d7f23d97c5fd6c2772f26ec91e866b,COMPLETE_SUCCESS,stationary,factor,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,32.66174999589566,168.03591699863318,168.03979199903551,1.5439204753118247,easy,True,True,0.008622581759111236,0.023820312086096217,0.0043331014073740865,0.019386615929350984,1.5477004501118288,1.2700014222190519,1.9400203648146495,0.987230685792062,1.0158795423684541,5.917524533514661,1.793773379658735,0.394361951633386,0,0.0,0,0,0,6.674276254598203e-05,10001,10.0,raw/B_s1_r1_factor.tracking.npz,ff76773dff588ac5294c6419438b390bad8cfee6d09eeafcd33dd61c5841f310,0.5244495409933734,
B_s2_r0_conic,heldout_41002,41002,0,conic,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,8145963a5012891565829d05df29078b022a23186ddc897055d9c10fe2379e85,COMPLETE_SUCCESS,optimal,conic,False,True,True,False,NO_NEGATIVE_WITNESS_FOUND,322.8741249986342,463.4783330038772,463.48095800203737,1.5431522157085056,easy,True,True,0.00861508474572519,0.023789697982233186,0.004333425022698126,0.019386622070551605,1.5438355163463735,1.27,1.9428915930654482,0.9896223373863368,1.012016363614363,5.936333224235128,1.7938078091366465,0.3943641910842372,0,0.0,0,0,0,6.68030114769031e-05,10001,10.0,raw/B_s2_r0_conic.tracking.npz,f4a4ed6e9837ff0aa9c69b100e50b1b16d297bee464eed152d7c4d45f17ef861,0.5256340000050841,
B_s2_r0_factor,heldout_41002,41002,0,factor,39c75ee513e4a6561ba26d5df93519b85af6c42334b4156a9f8301ebc5e3b0b2,fdd937a50ec8c4a28c62f2b1ec78ba15e46c7a39d0a01c699522bffc62cd1f36,8145963a5012891565829d05df29078b022a23186ddc897055d9c10fe2379e85,COMPLETE_SUCCESS,optimal,conic,True,True,True,False,NO_NEGATIVE_WITNESS_FOUND,359.94366699742386,499.92820899933577,499.9353749954025,1.5431522157085056,easy,True,True,0.00861508474572519,0.023789697982233186,0.004333425022698126,0.019386622070551605,1.5438355163463735,1.27,1.9428915930654482,0.9896223373863368,1.012016363614363,5.936333224235128,1.7938078091366465,0.3943641910842372,0,0.0,0,0,0,6.68030114769031e-05,10001,10.0,raw/B_s2_r0_factor.tracking.npz,f4a4ed6e9837ff0aa9c69b100e50b1b16d297bee464eed152d7c4d45f17ef861,0.5182128750020638,
