run_id,instance_id,seed,repeat,arm,group,physical_ok,complete_ok,status,projected_collision_status,simulation_executed,success,log,log_sha256
B_s0_r0_conic,heldout_41000,41000,0,conic,easy,True,True,COMPLETE_SUCCESS,NO_NEGATIVE_WITNESS_FOUND,True,True,tracking/c34e5f1360de9f2bc56c399272694821fe216db2641c0a30564083faed3442fe.npz,c34e5f1360de9f2bc56c399272694821fe216db2641c0a30564083faed3442fe
B_s0_r0_factor,heldout_41000,41000,0,factor,easy,True,True,COMPLETE_SUCCESS,NO_NEGATIVE_WITNESS_FOUND,True,True,tracking/c34e5f1360de9f2bc56c399272694821fe216db2641c0a30564083faed3442fe.npz,c34e5f1360de9f2bc56c399272694821fe216db2641c0a30564083faed3442fe
B_s0_r1_factor,heldout_41000,41000,1,factor,easy,True,True,COMPLETE_SUCCESS,NO_NEGATIVE_WITNESS_FOUND,True,True,tracking/b100bc2e99228adecd2e89682248ee9fd4a6439b7cf3629b586867207232ceb5.npz,b100bc2e99228adecd2e89682248ee9fd4a6439b7cf3629b586867207232ceb5
B_s0_r1_conic,heldout_41000,41000,1,conic,easy,True,True,COMPLETE_SUCCESS,NO_NEGATIVE_WITNESS_FOUND,True,True,tracking/c34e5f1360de9f2bc56c399272694821fe216db2641c0a30564083faed3442fe.npz,c34e5f1360de9f2bc56c399272694821fe216db2641c0a30564083faed3442fe
B_s1_r0_factor,heldout_41001,41001,0,factor,easy,True,True,COMPLETE_SUCCESS,NO_NEGATIVE_WITNESS_FOUND,True,True,tracking/26ae0159ca3d3fe60a575f1a13cd323e7f9819238cae9f735cad80bef7729d44.npz,26ae0159ca3d3fe60a575f1a13cd323e7f9819238cae9f735cad80bef7729d44
B_s1_r0_conic,heldout_41001,41001,0,conic,easy,True,True,COMPLETE_SUCCESS,NO_NEGATIVE_WITNESS_FOUND,True,True,tracking/26ae0159ca3d3fe60a575f1a13cd323e7f9819238cae9f735cad80bef7729d44.npz,26ae0159ca3d3fe60a575f1a13cd323e7f9819238cae9f735cad80bef7729d44
B_s1_r1_conic,heldout_41001,41001,1,conic,easy,True,True,COMPLETE_SUCCESS,NO_NEGATIVE_WITNESS_FOUND,True,True,tracking/26ae0159ca3d3fe60a575f1a13cd323e7f9819238cae9f735cad80bef7729d44.npz,26ae0159ca3d3fe60a575f1a13cd323e7f9819238cae9f735cad80bef7729d44
B_s1_r1_factor,heldout_41001,41001,1,factor,easy,True,True,COMPLETE_SUCCESS,NO_NEGATIVE_WITNESS_FOUND,True,True,tracking/ff76773dff588ac5294c6419438b390bad8cfee6d09eeafcd33dd61c5841f310.npz,ff76773dff588ac5294c6419438b390bad8cfee6d09eeafcd33dd61c5841f310
B_s2_r0_conic,heldout_41002,41002,0,conic,easy,True,True,COMPLETE_SUCCESS,NO_NEGATIVE_WITNESS_FOUND,True,True,tracking/f4a4ed6e9837ff0aa9c69b100e50b1b16d297bee464eed152d7c4d45f17ef861.npz,f4a4ed6e9837ff0aa9c69b100e50b1b16d297bee464eed152d7c4d45f17ef861
B_s2_r0_factor,heldout_41002,41002,0,factor,easy,True,True,COMPLETE_SUCCESS,NO_NEGATIVE_WITNESS_FOUND,True,True,tracking/f4a4ed6e9837ff0aa9c69b100e50b1b16d297bee464eed152d7c4d45f17ef861.npz,f4a4ed6e9837ff0aa9c69b100e50b1b16d297bee464eed152d7c4d45f17ef861
